title,category,date,start_date
경북콘텐츠코리아랩 2019 메이커스 공모전,취업/창업,2019-10-14 ~ 2019-11-04,19-Oct
2019 부산 창업주관 원더 메이커톤,취업/창업,2019-10-22 ~ 2019-11-04,19-Oct
2019 산림분야 공공데이터 활용 창업 아이디어 경진대회,취업/창업,2019-09-18 ~ 2019-10-13,19-Sep
공개SW 3DS(3Day Startup) 창업 아이디어 경진대회,취업/창업,2019-09-10 ~ 2019-09-30,19-Sep
2019 부산 청년일자리 해커톤 참가팀 모집,취업/창업,2019-07-26 ~ 2019-09-20,19-Jul
빅데이터 인공지능 스타트업 경진대회,취업/창업,2019-06-24 ~ 2019-07-14,19-Jun
2019 광주광역시 공공데이터 활용 창업경진대회,취업/창업,2019-05-20 ~ 2019-07-17,19-May
2019 제주 공공데이터 활용 창업경진대회,취업/창업,2019-04-29 ~ 2019-06-14,19-Apr
기상데이터분석 인공지능활용 창업경진대회 (기간연장),취업/창업,2019-04-29 ~ 2019-06-07,19-Apr
2019년 보건의료빅데이터를 활용한 창업아이디어 공모전,취업/창업,2019-04-29 ~ 2019-06-17,19-Apr
2019 농림축산식품 공공데이터 활용 창업경진대회,취업/창업,2019-04-10 ~ 2019-07-10,19-Apr
삼성SDS 프로그래밍 멘토링 모집,"웹/모바일/플래시, 게임/소프트웨어, 기타",2019-02-01 ~ 2019-02-17,19-Feb
Bixby Developer Day 2019,"웹/모바일/플래시, 게임/소프트웨어, 과학/공학, 대외활동/서포터즈, 기타",2019-11-05 ~ 2019-11-11,19-Nov
삼성SDS Brightics Academy 공모전,"웹/모바일/플래시, 게임/소프트웨어",2019-05-27 ~ 2019-06-21,19-May
2019 SW 챌린지 공모전,"웹/모바일/플래시, 게임/소프트웨어",2019-05-01 ~ 2019-06-28,19-May
제3회 KETI 모비우스 2.0 IoT 서비스 개발자 대회,"웹/모바일/플래시, 게임/소프트웨어",2019-05-13 ~ 2019-06-14,19-May
2019 현대오토에버 배리어프리 앱 개발 콘테스트,"웹/모바일/플래시, 게임/소프트웨어",2019-04-15 ~ 2019-05-15,19-Apr
삼성전자 빅스비 캡슐 챌린지 2019,"웹/모바일/플래시, 게임/소프트웨어",2019-04-02 ~ 2019-04-21,19-Apr
2019 오픈블록체인 해커톤 (참가비 있음),"웹/모바일/플래시, 게임/소프트웨어",2019-02-07 ~ 2019-03-04,19-Feb
2019년 건강iN 콘텐츠 아이디어 공모전,웹/모바일/플래시,2019-10-25 ~ 2019-11-23,19-Oct
제3회 사회보장통계를 활용한 이슈페이퍼 공모 (기간연장),예체능/미술/음악,2019-07-29 ~ 2019-09-06,19-Jul
2019 로컬데이터 활동가 교육,대외활동/서포터즈,2019-10-23 ~ 2019-10-28,19-Oct
2019 우주전파재난 예측 AI 경진대회,"논문/리포트, 웹/모바일/플래시, 게임/소프트웨어, 과학/공학",2019-08-10 ~ 2019-09-10,19-Aug
2019년 산재보험패널조사 데이터 설명회 및 연구계획서 공모,"논문/리포트, 기타",2019-09-02 ~ 2019-09-22,19-Sep
KISA-KSII 2019 대학(원)생 블록체인(Block Chain) 학술논문 공모전,논문/리포트,2019-09-16 ~ 2019-10-10,19-Sep
2019 미래에셋대우 대학생 디지털 금융 페스티벌,논문/리포트,2019-09-09 ~ 2019-10-04,19-Sep
제2회 대학생 학술논문경연대회 논문 공모전,논문/리포트,2019-07-30 ~ 2019-09-15,19-Jul
진로교육 현황조사 데이터 활용 제1회 우수 논문 공모전,논문/리포트,2019-04-23 ~ 2019-09-26,19-Apr
제3차 KIPA-KAPA 데이터 활용 논문 공모전,논문/리포트,2019-03-26 ~ 2019-06-30,19-Mar
제17회 통계청 논문 공모전,논문/리포트,2019-03-04 ~ 2019-04-30,19-Mar
부동산114 창사 20주년 기념 Big Data 공모전,"기획/아이디어, 웹/모바일/플래시, 게임/소프트웨어, 과학/공학, 건축/건설/인테리어",2019-03-11 ~ 2019-04-19,19-Mar
2019 IoT 아이디어 경진대회 공모전,"기획/아이디어, 웹/모바일/플래시, 게임/소프트웨어, 과학/공학",2019-10-07 ~ 2019-10-25,19-Oct
하반기 NUGU play 개발 공모전 2019,"기획/아이디어, 웹/모바일/플래시, 게임/소프트웨어, 과학/공학",2019-07-01 ~ 2019-08-18,19-Jul
과학기술정보통신부 2019 NTIS 정보활용경진대회,"기획/아이디어, 논문/리포트, 웹/모바일/플래시, 게임/소프트웨어, 과학/공학",2019-06-24 ~ 2019-08-11,19-Jun
2019년 문화.관광 빅 데이터 분석대회,"기획/아이디어, 논문/리포트, 웹/모바일/플래시, 게임/소프트웨어, 과학/공학",2019-06-17 ~ 2019-07-12,19-Jun
[환경부 국립생물자원관] 2019 대학생 생물분류 분야 연구 공모전,"기획/아이디어, 논문/리포트, 과학/공학, 대외활동/서포터즈",2019-08-16 ~ 2019-10-18,19-Aug
[해양수산부장관상] 2019 해운 신사업 아이디어 경진대회,"기획/아이디어, 광고/마케팅, 논문/리포트, 취업/창업",2019-07-01 ~ 2019-08-15,19-Jul
2019 경기도 청년일자리 해커톤 아이디어 공모전,"기획/아이디어, 광고/마케팅, 논문/리포트, 대외활동/서포터즈, 취업/창업",2019-08-26 ~ 2019-09-20,19-Aug
2019 식품안전나라 공공데이터(Open-API) 활용 아이디어 공모전,"기획/아이디어, 광고/마케팅, 논문/리포트, 과학/공학",2019-09-09 ~ 2019-10-23,19-Sep
SK브로드밴드 클라우드캠 API 영상서비스 공모전,"기획/아이디어, 게임/소프트웨어",2019-02-18 ~ 2019-03-18,19-Feb
녹색건축 해커톤 대회 2019 (기간연장),"기획/아이디어, 건축/건설/인테리어, 예체능/미술/음악, 취업/창업",2019-09-30 ~ 2019-11-03,19-Sep
2019 지역문화콘텐츠 기획 해커톤_아이디어 경매,기획/아이디어,2019-12-06 ~ 2019-12-18,19-Dec
2019 강변역 상권 활성화 해커톤,기획/아이디어,2019-11-25 ~ 2019-12-26,19-Nov
2019 전국 콘텐츠 해커톤,기획/아이디어,2019-11-11 ~ 2019-11-20,19-Nov
Go Green 2020 - 스마트시티 구현을 위한 대학(원)생 아이디어 공모전,기획/아이디어,2019-10-01 ~ 2019-11-15,19-Oct
2019 인공지능(AI) 아이디어 경진대회,기획/아이디어,2019-11-13 ~ 2019-12-04,19-Nov
경기도 지역경제 빅데이터 유통플랫폼을 활용한 아이디어 경진대회 공모전,기획/아이디어,2019-11-21 ~ 2019-11-26,19-Nov
스마트시티즌 챌린지 2019,기획/아이디어,2019-09-23 ~ 2019-10-06,19-Sep
2019년도 대국민 아이디어 공모전,기획/아이디어,2019-10-10 ~ 2019-10-31,19-Oct
스마트팜 빅데이터 활용 아이디어 공모전,기획/아이디어,2019-10-04 ~ 2019-11-03,19-Oct
2019 암 빅데이터 활용 아이디어 경진대회,기획/아이디어,2019-10-07 ~ 2019-10-28,19-Oct
2019 클라우드 플랫폼 비즈니스 공모전,기획/아이디어,2019-10-11 ~ 2019-11-01,19-Oct
2019 산림복지시설 안전관리 강화 아이디어 공모전,기획/아이디어,2019-09-16 ~ 2019-10-15,19-Sep
2019 충남 빅싱킹 아이디어 해커톤 (기간연장),기획/아이디어,2019-10-11 ~ 2019-11-05,19-Oct
2019 신한 해커톤,기획/아이디어,2019-10-21 ~ 2019-11-13,19-Oct
2019 충청남도 공공데이터 빅데이터 아이디어 공모전,기획/아이디어,2019-09-16 ~ 2019-10-15,19-Sep
2019 숲속예술실험실 해커톤 참가자 모집 (기간연장),기획/아이디어,2019-09-09 ~ 2019-09-27,19-Sep
2019년 인공지능 학습데이터 활용 아이디어 공모전,기획/아이디어,2019-09-16 ~ 2019-10-14,19-Sep
사립학교교직원연금공단 2019년 공공데이터 활용 국민 아이디어 공모전,기획/아이디어,2019-09-18 ~ 2019-09-30,19-Sep
2019 부산 에코델타시티 해커톤,기획/아이디어,2019-09-25 ~ 2019-10-15,19-Sep
2019 대학생 동아리 인공지능(AI) 아이디어 경진대회,기획/아이디어,2019-09-23 ~ 2019-10-14,19-Sep
상상현실 AR 콘텐츠 아이디어&기획 공모전,기획/아이디어,2019-09-02 ~ 2019-09-15,19-Sep
제5회 글로벌 이노베이터 페스타 '메이커톤',기획/아이디어,2019-08-05 ~ 2019-10-13,19-Aug
2019 제2회 핀테크 아이디어 공모전,기획/아이디어,2019-08-30 ~ 2019-09-20,19-Aug
2019 청년 리빙랩 해커톤,기획/아이디어,2019-08-16 ~ 2019-09-02,19-Aug
2019 시정발전 정책제안 공모전 (대상:구리시민 외),기획/아이디어,2019-09-01 ~ 2019-09-20,19-Sep
2019 Tezos Innovators 블록체인 아이디어 공모전 (기간연장),기획/아이디어,2019-08-19 ~ 2019-10-09,19-Aug
2019 마이데이터 액팅 해커톤,기획/아이디어,2019-08-08 ~ 2019-09-18,19-Aug
2019년 서비스R&D 대학(원)생 아이디어 공모전,기획/아이디어,2019-08-12 ~ 2019-09-20,19-Aug
[한국문화정보원] 숨은 빅데이터 찾기 - 데이터셋 아이디어 공모전,기획/아이디어,2019-08-07 ~ 2019-08-28,19-Aug
근로복지공단 2019년 대국민 혁신아이디어 공모전,기획/아이디어,2019-07-18 ~ 2019-08-09,19-Jul
제 7회 문화데이터 활용 경진대회,기획/아이디어,2019-06-25 ~ 2019-08-16,19-Jun
2019년 산림ICT 아이디어 공모전,기획/아이디어,2019-08-12 ~ 2019-08-14,19-Aug
제1회 대학생 스마트시티 아이디어 경진대회,기획/아이디어,2019-08-01 ~ 2019-08-12,19-Aug
2019 아시아 오픈데이터 챌린지 (기간연장),기획/아이디어,2019-07-04 ~ 2019-08-05,19-Jul
2019 서울교육 빅데이터 활용 아이디어 공모전,기획/아이디어,2019-06-17 ~ 2019-07-07,19-Jun
부산/울산 창조경제혁신센터 안전 메이커톤 (MAKE A THON),기획/아이디어,2019-06-10 ~ 2019-06-27,19-Jun
2019 제1회 ALL@CLOUD DEMO DAY (기간연장),기획/아이디어,2019-06-11 ~ 2019-08-02,19-Jun
산림복지산업 혁신성장 아이디어 공모전,기획/아이디어,2019-05-27 ~ 2019-07-10,19-May
세상을 바꾸는 힘! 기술 아이디어 공모전,기획/아이디어,2019-06-10 ~ 2019-07-12,19-Jun
마이데이터(MyData) 아이디어 공모전,기획/아이디어,2019-05-24 ~ 2019-06-28,19-May
2019 국방벤처 대학생 아이디어 경진대회,기획/아이디어,2019-05-10 ~ 2019-06-12,19-May
제7회 산업통상자원부 공공데이터 활용 비즈니스 아이디어 공모전 (기간연장),기획/아이디어,2019-05-08 ~ 2019-07-26,19-May
전라남도 공공데이터 활용 아이디어 공모전,기획/아이디어,2019-05-16 ~ 2019-06-28,19-May
코리아 핀테크 위크 2019 아이디어 공모전,기획/아이디어,2019-04-01 ~ 2019-05-07,19-Apr
제6회 해양수산 공공데이터 활용 경진대회,기획/아이디어,2019-04-17 ~ 2019-06-14,19-Apr
제3회 Creative Space G A.I & IoT 해커톤,기획/아이디어,2019-04-10 ~ 2019-04-25,19-Apr
2019 서울 통합이동서비스(MaaS) 해커톤,기획/아이디어,2019-04-09 ~ 2019-05-03,19-Apr
2019 산업융합 해커톤,기획/아이디어,2019-04-08 ~ 2019-04-26,19-Apr
신나라마당 제 3차 2030 정책공모전,기획/아이디어,2019-03-20 ~ 2019-04-12,19-Mar
2019 고래 해커톤 경진대회,기획/아이디어,2019-03-18 ~ 2019-04-11,19-Mar
빅데이터를 활용한 의약품 안전관리 분야 아이디어 공모전,기획/아이디어,2019-03-25 ~ 2019-04-12,19-Mar
2019 메이커 아이디어 공모전,기획/아이디어,2019-03-26 ~ 2019-04-19,19-Mar
2019년도 대국민 ICT 아이디어/R&D 기획 공모전,기획/아이디어,2019-03-28 ~ 2019-06-14,19-Mar
고속도로 사물인터넷(IoT) 아이디어 공모전,기획/아이디어,2019-04-01 ~ 2019-04-22,19-Apr
2019 디지털 헬스케어 액셀러레이팅 연계 아이디어 공모전,기획/아이디어,2019-02-18 ~ 2019-03-15,19-Feb
디지털 성범죄 피해방지 아이디어ㆍR&D 기획 공모전,기획/아이디어,2019-01-30 ~ 2019-04-05,19-Jan
보험판매 및 필요성 환기 VR시나리오 공모전,기획/아이디어,2019-02-01 ~ 2019-03-08,19-Feb
영등포구청/한국경영인증원 빅데이터 전문인력 양성과정 모집,기타,2019-02-21 ~ 2019-03-06,19-Feb
글로벌 퀀트 모의투자대회 2019 International Quant Chanmpionship,기타,2019-03-04 ~ 2019-05-21,19-Mar
2019 IGAWorks BIG DATA competition,과학/공학,2019-11-25 ~ 2019-12-13,19-Nov
제3회 KSPO X KBL 프로농구 데이터활용 경진대회,과학/공학,2019-10-23 ~ 2019-11-01,19-Oct
2019 용산 WEEK 상상해커톤,과학/공학,2019-10-10 ~ 2019-10-27,19-Oct
2019 강원도 빅데이터 아이디어 공모대회,과학/공학,2019-11-01 ~ 2019-11-30,19-Nov
2019년 ICT융합 공모전,과학/공학,2019-11-06 ~ 2019-11-30,19-Nov
2019 IoT 보안 위협 시나리오 공모전,과학/공학,2019-10-08 ~ 2019-11-29,19-Oct
국토도시 데이터 분석 경진대회,과학/공학,2019-10-14 ~ 2019-12-13,19-Oct
2019 AI 서비스 아이디어 임팩트톤,과학/공학,2019-10-10 ~ 2019-10-27,19-Oct
제1회 문화체육관광 빅데이터 활용 아이디어 공모전 (기간연장),과학/공학,2019-10-21 ~ 2019-11-13,19-Oct
2019 학생 빅데이터 분석 경진대회,과학/공학,2019-10-25 ~ 2019-11-05,19-Oct
제6회 엘포인트 빅데이터 컴피티션 (L.POINT Big Data Competition),과학/공학,2019-10-21 ~ 2019-11-26,19-Oct
제4회 Creative Space G A.I & IoT 메이커톤,과학/공학,2019-10-02 ~ 2019-10-17,19-Oct
2019년 농식품 공간데이터 분석·활용 대회,과학/공학,2019-08-07 ~ 2019-10-07,19-Aug
제3회 웰컴 투 메이커월드(메이커톤+해커톤),과학/공학,2019-09-11 ~ 2019-09-22,19-Sep
제2회 Maker Heroes in Korea 학생 공모전,과학/공학,2019-09-17 ~ 2019-10-06,19-Sep
2019 ETRI 인공지능 openAPI 활용 사례 공모전,과학/공학,2019-09-20 ~ 2019-10-31,19-Sep
2019년 K-water 대국민 빅데이터 공모전 (기간연장),과학/공학,2019-08-26 ~ 2019-09-19,19-Aug
2019 데이터 크리에이터 캠프,과학/공학,2019-08-29 ~ 2019-09-20,19-Aug
제6회 대한민국 SW융합 해커톤 대회,과학/공학,2019-08-07 ~ 2019-08-11,19-Aug
2019 개인정보 비식별 기술경진대회,과학/공학,2019-08-19 ~ 2019-08-31,19-Aug
제1회 교육 공공데이터 활용 대회,과학/공학,2019-07-15 ~ 2019-09-18,19-Jul
2019 창원 빅데이터 공모전,과학/공학,2019-07-01 ~ 2019-08-31,19-Jul
제7회 데이터 분석 경진대회 2019 빅콘테스트,과학/공학,2019-07-03 ~ 2019-09-10,19-Jul
2019년도 KSB 인공지능 프레임워크(BeeAI) 활용 공모전,과학/공학,2019-06-04 ~ 2019-06-30,19-Jun
2019 NTIS 정보활용경진대회,과학/공학,2019-06-24 ~ 2019-08-11,19-Jun
제8회 2019년도 UNIST 빅데이터 분석 경진대회,과학/공학,2019-06-27 ~ 2019-07-18,19-Jun
2019년 동남권 지역통계 분석활용 경진대회 공모전,과학/공학,2019-05-07 ~ 2019-07-31,19-May
SK텔레콤 AI Fellowship 공모,과학/공학,2019-05-11 ~ 2019-05-31,19-May
2019년 통계빅데이터 자료분석·활용대회,과학/공학,2019-05-27 ~ 2019-06-28,19-May
2019 날씨 빅데이터 콘테스트,과학/공학,2019-05-20 ~ 2019-06-26,19-May
2019 암호분석경진대회,과학/공학,2019-05-01 ~ 2019-08-15,19-May
2030 신인류 사피언스의 AI미래보고서 (기간연장),과학/공학,2019-04-11 ~ 2019-05-10,19-Apr
2019 뉴스빅데이터 해커톤,과학/공학,2019-04-01 ~ 2019-04-26,19-Apr
2019 히타치-LG 데이터 스토리지 근거리 LiDAR 응용 경진대회,과학/공학,2019-04-01 ~ 2019-04-30,19-Apr
2019 인공지능 R&D브랜드 챌린지 대회,과학/공학,2019-01-03 ~ 2019-03-29,19-Jan
제 1회 블록체인 및 암호화폐 분석 챌린지,과학/공학,2019-02-15 ~ 2019-02-28,19-Feb
2019 DVP 글로벌 블록체인 CTF 해킹 대회,"게임/소프트웨어, 해외",2019-09-17 ~ 2019-10-10,19-Sep
KB디지털 Mentoring 제 2회 국민은행 소프트웨어 경진대회,게임/소프트웨어,2019-11-04 ~ 2019-11-29,19-Nov
2019년 공개SW 미니해커톤,게임/소프트웨어,2019-11-01 ~ 2019-11-17,19-Nov
2019 폴리곤에이드 VR 콘텐츠 공모전,게임/소프트웨어,2019-10-08 ~ 2019-11-04,19-Oct
2019 제주 블록체인 해커톤,게임/소프트웨어,2019-09-18 ~ 2019-10-11,19-Sep
개방형클라우드플랫폼 파스-타 기반 서비스 개발 및 아이디어 공모전,게임/소프트웨어,2019-09-23 ~ 2019-12-08,19-Sep
네이버 AI 해커톤 Speech,게임/소프트웨어,2019-08-02 ~ 2019-09-04,19-Aug
2019 인텔 AI 드론 경진대회,게임/소프트웨어,2019-07-02 ~ 2019-07-16,19-Jul
제2회 한국 메이커&코딩 경진대회,게임/소프트웨어,2019-07-01 ~ 2019-07-26,19-Jul
2019 ICT 융합 프로젝트 공모전,게임/소프트웨어,2019-02-01 ~ 2019-03-31,19-Feb
2019 녹색건축 해커톤 대회,건축/건설/인테리어,2019-09-30 ~ 2019-11-03,19-Sep
제7회 엔지니어링산업설계대전,건축/건설/인테리어,2019-05-20 ~ 2019-07-19,19-May
